run_id,token_count,length_bucket,generator_group
run_001,12,1_20,known
run_002,13,1_20,known
run_003,14,1_20,known
run_004,15,1_20,known
run_005,16,1_20,known
run_006,17,1_20,known
run_007,18,1_20,known
run_008,19,1_20,known
run_009,12,1_20,known
run_010,13,1_20,known
run_011,14,1_20,known
run_012,15,1_20,known
run_013,16,1_20,known
run_014,17,1_20,known
run_015,18,1_20,known
run_016,19,1_20,known
run_017,12,1_20,known
run_018,13,1_20,known
run_019,14,1_20,known
run_020,15,1_20,known
run_021,16,1_20,known
run_022,17,1_20,known
run_023,18,1_20,known
run_024,19,1_20,known
run_025,12,1_20,known
run_026,13,1_20,known
run_027,14,1_20,known
run_028,15,1_20,known
run_029,16,1_20,known
run_030,17,1_20,known
run_031,18,1_20,known
run_032,19,1_20,known
run_033,12,1_20,known
run_034,13,1_20,known
run_035,14,1_20,known
run_036,15,1_20,known
run_037,16,1_20,known
run_038,17,1_20,known
run_039,18,1_20,known
run_040,19,1_20,known
run_041,12,1_20,known
run_042,13,1_20,known
run_043,14,1_20,known
run_044,15,1_20,known
run_045,16,1_20,known
run_046,17,1_20,known
run_047,18,1_20,known
run_048,19,1_20,known
run_049,12,1_20,known
run_050,13,1_20,known
run_051,14,1_20,known
run_052,15,1_20,known
run_053,16,1_20,known
run_054,17,1_20,known
run_055,18,1_20,known
run_056,19,1_20,known
run_057,12,1_20,known
run_058,13,1_20,known
run_059,14,1_20,known
run_060,15,1_20,known
run_061,16,1_20,known
run_062,17,1_20,known
run_063,18,1_20,known
run_064,19,1_20,known
run_065,12,1_20,known
run_066,13,1_20,known
run_067,14,1_20,known
run_068,15,1_20,known
run_069,16,1_20,known
run_070,17,1_20,known
run_071,18,1_20,known
run_072,19,1_20,known
run_073,12,1_20,known
run_074,13,1_20,known
run_075,14,1_20,known
run_076,15,1_20,known
run_077,16,1_20,known
run_078,17,1_20,known
run_079,18,1_20,known
run_080,19,1_20,known
run_081,12,1_20,known
run_082,13,1_20,known
run_083,14,1_20,known
run_084,15,1_20,known
run_085,16,1_20,known
run_086,17,1_20,known
run_087,18,1_20,known
run_088,19,1_20,known
run_089,12,1_20,known
run_090,13,1_20,known
run_091,14,1_20,known
run_092,15,1_20,known
run_093,16,1_20,known
run_094,17,1_20,known
run_095,18,1_20,known
run_096,19,1_20,known
run_097,12,1_20,known
run_098,13,1_20,known
run_099,14,1_20,known
run_100,15,1_20,known
run_101,16,1_20,known
run_102,17,1_20,known
run_103,18,1_20,known
run_104,19,1_20,known
run_105,12,1_20,known
run_106,13,1_20,known
run_107,14,1_20,known
run_108,15,1_20,known
run_109,16,1_20,known
run_110,17,1_20,known
run_111,18,1_20,known
run_112,19,1_20,known
run_113,12,1_20,known
run_114,13,1_20,known
run_115,14,1_20,known
run_116,15,1_20,known
run_117,16,1_20,known
run_118,17,1_20,known
run_119,18,1_20,known
run_120,19,1_20,known
run_121,12,1_20,known
run_122,13,1_20,known
run_123,14,1_20,known
run_124,15,1_20,known
run_125,16,1_20,known
run_126,17,1_20,known
run_127,18,1_20,known
run_128,19,1_20,known
run_129,12,1_20,known
run_130,13,1_20,known
run_131,14,1_20,known
run_132,15,1_20,known
run_133,16,1_20,known
run_134,17,1_20,known
run_135,18,1_20,known
run_136,19,1_20,known
run_137,12,1_20,known
run_138,13,1_20,known
run_139,14,1_20,known
run_140,15,1_20,known
run_141,16,1_20,known
run_142,17,1_20,known
run_143,18,1_20,known
run_144,19,1_20,known
run_145,12,1_20,known
run_146,13,1_20,known
run_147,14,1_20,known
run_148,15,1_20,known
run_149,16,1_20,known
run_150,17,1_20,known
run_151,18,1_20,known
run_152,19,1_20,known
run_153,12,1_20,known
run_154,13,1_20,known
run_155,14,1_20,known
run_156,15,1_20,known
run_157,16,1_20,known
run_158,17,1_20,known
run_159,18,1_20,known
run_160,19,1_20,known
run_161,65,21_100,known
run_162,66,21_100,known
run_163,67,21_100,known
run_164,68,21_100,known
run_165,69,21_100,known
run_166,70,21_100,known
run_167,71,21_100,known
run_168,72,21_100,known
run_169,73,21_100,known
run_170,74,21_100,known
run_171,75,21_100,known
run_172,76,21_100,known
run_173,77,21_100,known
run_174,78,21_100,known
run_175,79,21_100,known
run_176,80,21_100,known
run_177,81,21_100,known
run_178,82,21_100,known
run_179,83,21_100,known
run_180,84,21_100,known
run_181,55,21_100,known
run_182,56,21_100,known
run_183,57,21_100,known
run_184,58,21_100,known
run_185,59,21_100,known
run_186,60,21_100,known
run_187,61,21_100,known
run_188,62,21_100,known
run_189,63,21_100,known
run_190,64,21_100,known
run_191,65,21_100,known
run_192,66,21_100,known
run_193,67,21_100,known
run_194,68,21_100,known
run_195,69,21_100,known
run_196,70,21_100,known
run_197,71,21_100,known
run_198,72,21_100,known
run_199,73,21_100,known
run_200,74,21_100,known
run_201,75,21_100,known
run_202,76,21_100,known
run_203,77,21_100,known
run_204,78,21_100,known
run_205,79,21_100,known
run_206,80,21_100,known
run_207,81,21_100,known
run_208,82,21_100,known
run_209,83,21_100,known
run_210,84,21_100,known
run_211,55,21_100,known
run_212,56,21_100,known
run_213,57,21_100,known
run_214,58,21_100,known
run_215,59,21_100,known
run_216,60,21_100,known
run_217,61,21_100,known
run_218,62,21_100,known
run_219,63,21_100,known
run_220,64,21_100,known
run_221,65,21_100,known
run_222,66,21_100,known
run_223,67,21_100,known
run_224,68,21_100,known
run_225,69,21_100,known
run_226,70,21_100,known
run_227,71,21_100,known
run_228,72,21_100,known
run_229,73,21_100,known
run_230,74,21_100,known
run_231,75,21_100,known
run_232,76,21_100,known
run_233,77,21_100,known
run_234,78,21_100,known
run_235,79,21_100,known
run_236,80,21_100,known
run_237,81,21_100,known
run_238,82,21_100,known
run_239,83,21_100,known
run_240,84,21_100,known
run_241,55,21_100,known
run_242,56,21_100,known
run_243,57,21_100,known
run_244,58,21_100,known
run_245,59,21_100,known
run_246,60,21_100,known
run_247,61,21_100,known
run_248,62,21_100,known
run_249,63,21_100,known
run_250,64,21_100,known
run_251,65,21_100,known
run_252,66,21_100,known
run_253,67,21_100,known
run_254,68,21_100,known
run_255,69,21_100,known
run_256,70,21_100,known
run_257,71,21_100,known
run_258,72,21_100,known
run_259,73,21_100,known
run_260,74,21_100,known
run_261,75,21_100,known
run_262,76,21_100,known
run_263,77,21_100,known
run_264,78,21_100,known
run_265,79,21_100,known
run_266,80,21_100,known
run_267,81,21_100,known
run_268,82,21_100,known
run_269,83,21_100,known
run_270,84,21_100,known
run_271,55,21_100,known
run_272,56,21_100,known
run_273,57,21_100,known
run_274,58,21_100,known
run_275,59,21_100,known
run_276,60,21_100,known
run_277,61,21_100,known
run_278,62,21_100,known
run_279,63,21_100,known
run_280,64,21_100,known
run_281,65,21_100,known
run_282,66,21_100,known
run_283,67,21_100,known
run_284,68,21_100,known
run_285,69,21_100,known
run_286,70,21_100,known
run_287,71,21_100,known
run_288,72,21_100,known
run_289,73,21_100,known
run_290,74,21_100,known
run_291,75,21_100,known
run_292,76,21_100,known
run_293,77,21_100,known
run_294,78,21_100,known
run_295,79,21_100,known
run_296,80,21_100,known
run_297,81,21_100,known
run_298,82,21_100,known
run_299,83,21_100,known
run_300,84,21_100,known
run_301,55,21_100,known
run_302,56,21_100,known
run_303,57,21_100,known
run_304,58,21_100,known
run_305,59,21_100,known
run_306,60,21_100,known
run_307,61,21_100,known
run_308,62,21_100,known
run_309,63,21_100,known
run_310,64,21_100,known
run_311,65,21_100,known
run_312,66,21_100,known
run_313,67,21_100,known
run_314,68,21_100,known
run_315,69,21_100,known
run_316,70,21_100,known
run_317,71,21_100,known
run_318,72,21_100,known
run_319,73,21_100,known
run_320,74,21_100,known
run_321,75,21_100,known
run_322,76,21_100,known
run_323,77,21_100,known
run_324,78,21_100,known
run_325,79,21_100,known
run_326,80,21_100,known
run_327,81,21_100,known
run_328,82,21_100,known
run_329,83,21_100,known
run_330,84,21_100,known
run_331,55,21_100,known
