run_id,conversation_id,user_id,target_type,target_id,run_status,manual_minutes_low,manual_minutes_base,manual_minutes_high,prompt_minutes,ai_wall_minutes,quality_score,quality_evidence,marginal_cost,fully_loaded_cost,potential_saved_minutes_base,potential_roi_base,actual_saved_minutes,actual_roi,break_even_quality_base,status,missing_evidence
run_001,conv_aleksei_smirnov_01,aleksei_smirnov,,,completed,,,,3.0,6.430000000000001,,,0.0,22.21,,,,,,INSUFFICIENT_EVIDENCE,"[""economic_passport""]"
run_019,conv_aleksei_smirnov_01,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,4.680000000000001,,,0.0,22.85,33.532,35.68709,,,0.275156,POTENTIALLY_EFFECTIVE,[]
run_037,conv_aleksei_smirnov_01,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.739999999999999,,,0.0,23.49,15.526,15.524053,,,0.416544,POTENTIALLY_EFFECTIVE,[]
run_055,conv_aleksei_smirnov_01,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,5.27,,,0.0,24.18,15.473,14.997725,,,0.419768,POTENTIALLY_EFFECTIVE,[]
run_073,conv_aleksei_smirnov_01,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,5.42,,,0.0,22.41,15.458,16.244534,,,0.417536,POTENTIALLY_EFFECTIVE,[]
run_091,conv_aleksei_smirnov_01,aleksei_smirnov,,,completed,,,,3.0,8.96,,,0.0,22.91,,,,,,INSUFFICIENT_EVIDENCE,"[""economic_passport""]"
run_002,conv_aleksei_smirnov_02,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.34,,,0.0,22.51,15.566,16.287872,,,0.413376,POTENTIALLY_EFFECTIVE,[]
run_020,conv_aleksei_smirnov_02,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,4.180000000000001,,,0.0,23.15,33.582,35.265659,,,0.274311,POTENTIALLY_EFFECTIVE,[]
run_038,conv_aleksei_smirnov_02,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.489999999999999,,,0.0,23.79,15.551,15.34195,,,0.416024,POTENTIALLY_EFFECTIVE,[]
run_056,conv_aleksei_smirnov_02,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.71,,,0.0,24.48,15.529,14.858864,,,0.418008,POTENTIALLY_EFFECTIVE,[]
run_074,conv_aleksei_smirnov_02,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.91,,,0.0,22.71,15.509,16.072875,,,0.415976,POTENTIALLY_EFFECTIVE,[]
run_092,conv_aleksei_smirnov_02,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.67,,,0.0,23.21,15.533,15.730935,,,0.415816,POTENTIALLY_EFFECTIVE,[]
run_003,conv_aleksei_smirnov_03,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,4.430000000000001,,,0.0,22.8,33.557,35.794956,,,0.274556,POTENTIALLY_EFFECTIVE,[]
run_021,conv_aleksei_smirnov_03,aleksei_smirnov,,,completed,,,,3.0,6.73,,,0.0,23.44,,,,,,INSUFFICIENT_EVIDENCE,"[""economic_passport""]"
run_039,conv_aleksei_smirnov_03,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.6899999999999995,,,0.0,24.09,15.531,15.117684,,,0.417304,POTENTIALLY_EFFECTIVE,[]
run_057,conv_aleksei_smirnov_03,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,3.9699999999999998,,,0.0,22.41,33.603,36.486613,,,0.273187,POTENTIALLY_EFFECTIVE,[]
run_075,conv_aleksei_smirnov_03,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,5.41,,,0.0,23.0,15.459,15.803261,,,0.41844,POTENTIALLY_EFFECTIVE,[]
run_093,conv_aleksei_smirnov_03,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.77,,,0.0,23.5,15.523,15.51383,,,0.41668,POTENTIALLY_EFFECTIVE,[]
run_004,conv_aleksei_smirnov_04,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,4.7,,,0.0,23.1,33.53,35.287879,,,0.275422,POTENTIALLY_EFFECTIVE,[]
run_022,conv_aleksei_smirnov_04,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.79,,,0.0,23.74,15.521,15.344777,,,0.417144,POTENTIALLY_EFFECTIVE,[]
run_040,conv_aleksei_smirnov_04,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,5.11,,,0.0,24.38,15.489,14.882896,,,0.419448,POTENTIALLY_EFFECTIVE,[]
run_058,conv_aleksei_smirnov_04,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.4,,,0.0,22.71,15.56,16.129018,,,0.413936,POTENTIALLY_EFFECTIVE,[]
run_076,conv_aleksei_smirnov_04,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,5.17,,,0.0,23.31,15.483,15.605534,,,0.417976,POTENTIALLY_EFFECTIVE,[]
run_094,conv_aleksei_smirnov_04,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.87,,,0.0,23.8,15.513,15.295168,,,0.41756,POTENTIALLY_EFFECTIVE,[]
run_005,conv_aleksei_smirnov_05,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.45,,,0.0,23.4,15.555,15.61859,,,0.41524,POTENTIALLY_EFFECTIVE,[]
run_023,conv_aleksei_smirnov_05,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.7,,,0.0,24.04,15.53,15.150166,,,0.417264,POTENTIALLY_EFFECTIVE,[]
run_041,conv_aleksei_smirnov_05,aleksei_smirnov,,,completed,,,,3.0,6.21,,,0.0,22.36,,,,,,INSUFFICIENT_EVIDENCE,"[""economic_passport""]"
run_059,conv_aleksei_smirnov_05,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,4.05,,,0.0,23.0,33.595,35.516304,,,0.273889,POTENTIALLY_EFFECTIVE,[]
run_077,conv_aleksei_smirnov_05,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,5.64,,,0.0,23.6,15.436,15.351695,,,0.42032,POTENTIALLY_EFFECTIVE,[]
run_095,conv_aleksei_smirnov_05,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.989999999999999,,,0.0,24.1,15.501,15.079876,,,0.41852,POTENTIALLY_EFFECTIVE,[]
run_006,conv_aleksei_smirnov_06,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,4.75,,,0.0,23.69,33.525,34.378852,,,0.276058,POTENTIALLY_EFFECTIVE,[]
run_024,conv_aleksei_smirnov_06,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.8,,,0.0,24.33,15.52,14.94739,,,0.418128,POTENTIALLY_EFFECTIVE,[]
run_042,conv_aleksei_smirnov_06,aleksei_smirnov,known_use_case,client_contacts_by_company,completed,10.0,25.0,60.0,3.0,4.3,,,0.0,22.66,15.57,16.177846,,,0.413456,POTENTIALLY_EFFECTIVE,[]
run_060,conv_aleksei_smirnov_06,aleksei_smirnov,known_use_case,daily_email_digest,completed,25.0,45.0,90.0,3.0,4.180000000000001,,,0.0,23.3,33.582,35.032189,,,0.274444,POTENTIALLY_EFFECTIVE,[]
