target_type,target_id,name,run_count,user_count,conversation_count,evaluated_run_count,evaluation_coverage,mean_quality,quality_ci_low,quality_ci_high,potential_saved_minutes_base,potential_roi_base,roi_lower,roi_upper,break_even_quality_base,fully_loaded_cost,status,evidence_level
category,projects_tasks,Проекты и задачи,2,1,2,0,0.0,,,,,,,,,81.24,INSUFFICIENT_EVIDENCE,E0
cluster,0f4a51dd87d4acd8ec4e73560853c690c6ada272605b115c67ed600d00b80ae8,Ответы студентам по сервисам НИЯУ МИФИ,12,1,4,0,0.0,,,,234.4825,1.562896,,,0.602802,2287.28,POTENTIALLY_EFFECTIVE,E0
cluster,0f4f6aaa02f3184ced18d0b8e39fb7d6dc154e466b7d1f2212e318a6e2932c4f,Сверка витрин учебных материалов,11,1,4,0,0.0,,,,424.842,1.077369,,,0.635814,5112.74,POTENTIALLY_EFFECTIVE,E0
cluster,175e48e660c00cdc0784597c0d33d9ab3639cb1bc68ddb03e15e350ad0277e00,Контроль локальных справочников оборудования,8,2,5,0,0.0,,,,207.888,0.379113,,,0.821414,3768.51,HIGH_RISK,E0
cluster,26958b837d7d885ae5340b2b030ae4661dd7ca82f69015388ac4cffe1531075b,Смешанные long-context и случайные запросы,17,5,10,0,0.0,,,,,,,,,8548.49,INSUFFICIENT_EVIDENCE,E0
cluster,3254733515f4fd9c0a2fad6d7b3e9b7e6b1fe3e52b7a9842f51a2d37c38d5892,Проверка небольших списков закупок,5,2,4,0,0.0,,,,72.773,-0.280905,,,1.227416,2530.0,POTENTIALLY_INEFFECTIVE,E0
cluster,3b720529fe577dee894a0088d85851ba19021a9bc72ea14028142fac3cf0ac3f,Смешанные проверки данных и микроопросы,20,3,15,0,0.0,,,,,,,,,3937.75,INSUFFICIENT_EVIDENCE,E0
cluster,4bbf2f178daa76f45e11271209212ce17c4a11d3e0ad99c59fa6fee7e844031f,Ошибочно нераспознанные известные сценарии,8,2,6,0,0.0,,,,,,,,,194.42,INSUFFICIENT_EVIDENCE,E0
cluster,745e04a976981c08d1bc807b07c1d98e7fd6d0442bcbcecdd276142ef7d94c95,Онбординг внутренних AI-ассистентов,16,2,6,0,0.0,,,,649.499,1.284962,,,0.619532,7106.24,POTENTIALLY_EFFECTIVE,E0
cluster,7a2b6d9f700861d1fdcd5a1177d121edc2772afdaab4cfec819fbc23069efc29,Обработка заявок в библиотеку промптов,15,1,6,0,0.0,,,,513.8232,5.26241,,,0.424301,2051.22,POTENTIALLY_EFFECTIVE,E0
cluster,9c5fc6d87fcbd3c91e4f42f7571ddc23a1dfc2b7d40e3c403ea3d28898a33339,Подготовка черновиков внутренних объявлений,10,1,4,0,0.0,,,,233.1535,0.192411,,,0.892508,4888.28,HIGH_RISK,E0
cluster,9f9c6677e88abd39f165f84911bc138adccbe18c432bc050f292428c9a053184,Почти полностью известные сценарии с шумовым хвостом,9,5,9,0,0.0,,,,,,,,,2312.43,INSUFFICIENT_EVIDENCE,E0
cluster,a7ad6e3232a0a362e7ca477c1870dcc0367b938f5cd95029b63d339f022a6948,Небольшая группа ошибочно нераспознанных known-запросов,6,3,5,0,0.0,,,,,,,,,334.18,INSUFFICIENT_EVIDENCE,E0
cluster,c90ec9ce68439e55749888b6ed6b64c63218a74e404af29861e3f2f0eb1aaccb,Смешанные long-context запросы,15,5,10,0,0.0,,,,,,,,,5555.95,INSUFFICIENT_EVIDENCE,E0
cluster,e36493241b36a2dcf6bdbd8cc334467941ac30fc584bbb497f828457b56a2891,Анализ применения офисных IoT-датчиков,16,1,6,0,0.0,,,,545.175,4.953687,,,0.432993,2289.23,POTENTIALLY_EFFECTIVE,E0
cluster,ef929cde84c69d4c87c1ede855119db14b99ad87292aacce89b42317c2c08739,Смешанные известные и мусорные запросы,24,7,14,0,0.0,,,,,,,,,74442.9,INSUFFICIENT_EVIDENCE,E0
cluster,f38fc4e18f4a2f3113e1b4e0b5a1854082a33ad1a13ff523a3580453026ec9af,Ошибочно нераспознанные известные задачи,17,3,16,0,0.0,,,,,,,,,936.18,INSUFFICIENT_EVIDENCE,E0
known_use_case,analysis_results_excel_export,Экспорт аналитических результатов в Excel,4,2,4,0,0.0,,,,53.809,6.591219,,,0.532794,177.21,POTENTIALLY_EFFECTIVE,E0
known_use_case,client_company_group_lookup,Сбор данных по группе компаний клиента,16,1,10,0,0.0,,,,1456.338,49.168038,,,0.25661,725.73,POTENTIALLY_EFFECTIVE,E0
known_use_case,client_contacts_by_company,Поиск контактных лиц клиента,91,2,26,0,0.0,,,,1404.46,8.014717,,,0.451137,3894.91,POTENTIALLY_EFFECTIVE,E0
known_use_case,client_thread_reply,Подготовка ответа клиенту по переписке,20,1,9,0,0.0,,,,627.599,13.374309,,,0.416062,1091.53,POTENTIALLY_EFFECTIVE,E0
known_use_case,confluence_process_search,Поиск корпоративного процесса в Confluence,21,3,21,0,0.0,,,,383.931,2.526209,,,0.56341,2721.98,POTENTIALLY_EFFECTIVE,E0
known_use_case,crm_client_excel_report,Формирование Excel-отчёта по клиенту,22,2,18,0,0.0,,,,792.181,24.997033,,,0.370488,761.8,POTENTIALLY_EFFECTIVE,E0
known_use_case,daily_email_digest,Подготовка ежедневной сводки почты,26,2,22,0,0.0,,,,868.834,13.925745,,,0.307159,1455.26,POTENTIALLY_EFFECTIVE,E0
known_use_case,discussion_notes,Оформление итогов обсуждения,5,2,5,0,0.0,,,,93.818,7.315724,,,0.44976,282.05,POTENTIALLY_EFFECTIVE,E0
known_use_case,email_to_project_ticket,Создание проектного тикета из письма,6,1,6,0,0.0,,,,96.984,2.293157,,,0.624813,736.26,POTENTIALLY_EFFECTIVE,E0
